title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Root Cause Analysis of Failures in Microservices through Causal Discovery,2022,NeurIPS,comp,,,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
Low-variance Black-box Gradient Estimates for the Plackett-Luce Distribution,2019,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Causal discovery from observational and interventional data across multiple environments,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Federated Causal Discovery from Heterogeneous Data,2024,ICLR,"neuro,econ",,fmri-hippo,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Bivariate Causal Discovery for Categorical Data via Classification with Optimal Label Permutation,2022,NeurIPS,,,Tubingen,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Information-Theoretic Causal Discovery and Intervention Detection over Multiple Environments,2023,AAAI,bio,,,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
Generalized Independent Noise Condition for Estimating Latent Variable Causal Graphs,2020,NeurIPS,socio,,,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
Causal Discovery via Conditional Independence Testing with Proxy Variables,2023,ICML,bio,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Causal Interpretation of Self-Attention in Pre-Trained Transformers,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
extttcausalAssembly: Generating Realistic Production Data for Benchmarking Causal Discovery,2024,CLeaR,,,,,,,,,,,,,,,,,,,,,0
A Distance Covariance-based Kernel for Nonlinear Causal Clustering in Heterogeneous Populations,2021,CLeaR,bio,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
eCDANs: Efficient Temporal Causal Discovery from Autocorrelated and Non-stationary Data (Student Abstract),2023,AAAI,,,,,,,,,,,,,,,,,,,,,0
"Interventions, Where and How? Experimental Design for Causal Models at Scale",2022,NeurIPS,bio,DREAM,,0,1,1,1,0,,,,,1,0,0,0,,,,,1
Fast Scalable and Accurate Discovery of DAGs Using the Best Order Score Search and Grow-Shrink Trees,2023,NeurIPS,neuro,,,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
Differentiable Causal Discovery from Interventional Data,2020,NeurIPS,bio,,Sachs,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1
Causal Discovery in Hawkes Processes by Minimum Description Length,2022,AAAI,econ,,,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
Causal Discovery with Hidden Confounders using the Algorithmic Markov Condition,2023,UAI,bio,,,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
On the Completeness of Causal Discovery in the Presence of Latent Confounding with Tiered Background Knowledge,2020,AISTATS,,,,,,,,,,,,,,,,,,,,,0
Local Causal Discovery with Linear non-Gaussian Cyclic Models,2024,AISTATS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Residual Similarity Based Conditional Independence Test and Its Application in Causal Discovery,2022,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Nonlinear Causal Discovery with Latent Confounders,2023,ICML,bio,,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1
Improving Causal Discovery By Optimal Bayesian Network Learning,2021,AAAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Causal Discovery for Non-stationary Non-linear Time Series Data Using Just-In-Time Modeling,2023,CLeaR,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1
BayesDAG: Gradient-Based Posterior Inference for Causal Discovery,2023,NeurIPS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
Causal Layering via Conditional Entropy,2024,CLeaR,,,,,,,,,,,,,,,,,,,,,0
